"DGT_DATASET_NAME","DGT_DATASET_REGEX","DGT_RUN_NUMBER_FROM","DGT_RUN_NUMBER_TO","DGT_RUN_CLASS"
"/PromptReco/ZeroBias2012A/DQM","/ZeroBias.*?/Run2012A-PromptReco-v.*?/DQM",191306,193091,"Collisions12"
"/PromptReco/Cosmics2013A/DQM","/Cosmics/HIRun2013A-PromptReco-v.*?/DQM",209642,999999,"Cosmics13"
"/PromptReco/Collisions2013A/DQM","/PAMuon/HIRun2013A-PromptReco-v.*?/DQM
/PAHighPt/HIRun2013A-PromptReco-v.*?/DQM
/PAMinBiasUPC/HIRun2013A-PromptReco-v.*?/DQM",210498,210569,"Collisions13"
"/PromptReco/Cosmics14MWGR3/DQM","/Cosmics/Commissioning2014-PromptReco-v2/DQM",224000,300000,"Cosmics14"
"/PromptReco/Cosmics14MWGR5/DQM","/MinimumBias/Commissioning2014-PromptReco-v3/DQM",225500,226000,"Cosmics14"
"/PromptReco/Cosmics15CRUZET/DQM","/Cosmics/Commissioning2015-PromptReco-v1/DQM",233800,238340,"Cosmics15"
"/PromptReco/Commissioning2015A-VeryLowPU/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO
/TOTEMMinBias/Run2015A-PromptReco-v.*?/DQMIO",247607,247934,"Collisions15"
"/PromptReco/Commissioning2015A/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/SingleMu/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO
",247981,248005,"Collisions15"
"/PromptReco/Cosmics2015A/DQM","/Cosmics/Run2015A-PromptReco-v1/DQMIO",247205,251000,"Cosmics15"
"/PromptReco/Collisions2015B/DQM","/ZeroBias.*?/Run2015B-PromptReco-v.*?/DQMIO
/SingleMu/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO
",251135,251160,"Collisions15"
"/PromptReco/SpecialHLTMenu/DQM","/ZeroBias.*?/Run2015B-PromptReco-v.*?/DQMIO
/SingleMu/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO
",251131,251134,"Collisions15"
"/PromptReco/Cosmics2015C/DQM","/Cosmics/Run2015C-PromptReco-v.*?/DQMIO",256281,256281,"Cosmics15"
"/PromptReco/Collisions2015C/DQM","/SingleMuon/Run2015C-PromptReco-v.*?/DQMIO
/Commissioning/Run2015C-PromptReco-v.*?/DQMIO
/JetHT/Run2015C-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2015C-PromptReco-v.*?/DQMIO
/ZeroBias/Run2015C-PromptReco-v.*?/DQMIO
",253659,300000,"Collisions15"
"/PromptReco/LowPURun/DQM","/ZeroBias/Run2015C-PromptReco-v.*?/DQMIO",254982,254989,"Collisions15"
"/PromptReco/LowPURun/DQM","/ZeroBias/Run2015C-PromptReco-v.*?/DQMIO",254993,255031,"Collisions15"
"/PromptReco/HICollisions2015/DQM","/HIHardProbes/HIRun2015-PromptReco-v1/DQMIO
/HIOniaTnP/HIRun2015-PromptReco-v1/DQMIO
/HIMinimumBias1/HIRun2015-PromptReco-v1/DQMIO
/HIHardProbesPhotons/HIRun2015-PromptReco-v1/DQMIO",263232,300000,"Collisions15"
"/Express/Commissioning2016/DQM","/StreamExpressCosmics/Commissioning2016-Express-v.*?/DQMIO",264200,300000,"Commissioning16"
"/PromptReco/Collisions2016B/DQM","/ZeroBias1/Run2016B-PromptReco-v.*?/DQMIO",272000,272022,"Collisions16"
"/PromptReco/Collisions2016G/DQM","/ZeroBias/Run2016G-PromptReco-v.*?/DQMIO
/SingleMuon/Run2016G-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2016G-PromptReco-v.*?/DQMIO
/JetHT/Run2016G-PromptReco-v.*?/DQMIO",278816,280385,"Collisions16"
"/PromptReco/Cosmics16G/DQM","/Cosmics/Run2016G-PromptReco-v.*?/DQMIO",278809,280831,"Cosmics16"
"/Collisions16TestRun","/.*?/.*?-PromptReco-v.*?/DQMIO",279717,999999,"Collision16ForTest"
"/Express/Collisions2016/DQM","/StreamExpress/Run2016H-Express-v.*?/DQMIO",281010,284176,"Collisions16"
"/Express/HICollisions2016B/DQM","/StreamExpressPA/PARun2016B-Express-v.*?/DQMIO",284756,285396,"Collisions16"
"/PromptReco/HICollisions2016B/DQM","/ZeroBias/PARun2016B-PromptReco-v.*?/DQMIO
/PASingleMuon/PARun2016B-PromptReco-v.*?/DQMIO
/PAEGJet1/PARun2016B-PromptReco-v.*?/DQMIO",284756,285396,"Collisions16"
"/PromptReco/HICosmics2016B/DQM","/Cosmics/PARun2016B-PromptReco-v.*?/DQMIO
",284756,285396,"Cosmics16"
"/Express/HICosmics2016B/DQM","/StreamExpressCosmics/PARun2016B-Express-v.*?/DQMIO",284756,285396,"Cosmics16"
"/PromptReco/Collisions2017D/DQM","/ZeroBias/Run2017D-PromptReco-v.*?/DQMIO
/SingleMuon/Run2017D-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2017D-PromptReco-v.*?/DQMIO
/JetHT/Run2017D-PromptReco-v.*?/DQMIO
",302030,303434,"Collisions17"
"/PromptReco/Cosmics17D/DQM","/Cosmics/Run2017D-PromptReco-v.*?/DQMIO
",302030,303434,"Cosmics17"
"/PromptReco/Collisions2017E/DQM","/ZeroBias/Run2017E-PromptReco-v.*?/DQMIO
/SingleMuon/Run2017E-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2017E-PromptReco-v.*?/DQMIO
/JetHT/Run2017E-PromptReco-v.*?/DQMIO
",303435,304826,"Collisions17"
"/PromptReco/Cosmics17E/DQM","/Cosmics/Run2017E-PromptReco-v.*?/DQMIO",303435,304826,"Cosmics17"
"/Express/XeXeCollisions2017/DQM","/StreamHIExpress/XeXeRun2017-Express-v.*?/DQMIO
",304899,304910,"Collisions17"
"/Express/Collisions2012/DQM","/StreamExpress/Run2012[A-D]-Express-v.*?/DQM",190450,300000,"Collisions12"
"/PromptReco/Cosmics2012C/DQM","/Cosmics/Run2012C-PromptReco-v.*?/DQM
",197556,203763,"Cosmics12"
"/PromptReco/Collisions2012C/DQM","/SingleMu/Run2012C-PromptReco-v.*?/DQM
/MinimumBias/Run2012C-PromptReco-v.*?/DQM
/JetHT/Run2012C-PromptReco-v.*?/DQM
/SinglePhoton/Run2012C-PromptReco-v.*?/DQM",198022,203763,"Collisions12"
"/PromptReco/HighPU2012C/DQM","/ZeroBias/Run2012C-PromptReco-v1/DQM",198588,198609,"Collisions12"
"/Express/Collisions2013A/DQM","/StreamExpress/HIRun2013-Express-v.*?/DQM",210406,211635,"Collisions13"
"/PromptReco/ZeroBias2012C/DQM","/ZeroBias.*?/Run2012C-PromptReco-v.*?/DQM",201366,201475,"Collisions12"
"/Express/Collisions2013A/DQM","/StreamExpress/PPRun2013A-Express-v.*?/DQM",211739,300000,"Collisions13"
"/PromptReco/Collisions2013A/DQM","/MinimumBias/Run2013A-PromptReco-v.*?/DQM
/PPMinBias/Run2013A-PromptReco-v.*?/DQM
/PPJet/Run2013A-PromptReco-v.*?/DQM
/PPMuon/Run2013A-PromptReco-v.*?/DQM
/PPPhoton/Run2013A-PromptReco-v.*?/DQM",211739,300000,"Collisions13"
