id,CCL_id
6,5
7,5
9,5
6,6
7,6
9,6
10,6
7,7
9,7
10,7
7,8
9,8
10,8
11,8
9,9
10,9
11,9
9,10
10,10
11,10
12,10
9,11
11,11
12,11
11,12
12,12
11,13
13,13
11,14
13,14
14,14
11,15
14,15
14,16
15,16
14,17
15,17
16,17
14,18
16,18
14,19
16,19
17,19
14,20
16,20
18,20
16,21
18,21
19,21
16,22
18,22
20,22
16,23
18,23
20,23
21,23
16,24
18,24
20,24
22,24
16,25
20,25
22,25
23,25
16,26
20,26
22,26
23,26
24,26
16,27
20,27
23,27
24,27
25,27
16,28
20,28
23,28
24,28
26,28
16,29
20,29
23,29
24,29
26,29
27,29
20,30
23,30
24,30
26,30
27,30
28,30
20,31
23,31
26,31
27,31
28,31
20,32
23,32
26,32
28,32
29,32
20,33
26,33
28,33
29,33
30,33
20,34
26,34
28,34
29,34
30,34
31,34
20,35
26,35
28,35
29,35
30,35
20,36
26,36
28,36
29,36
30,36
32,36
20,37
26,37
28,37
29,37
30,37
32,37
33,37
26,38
28,38
29,38
30,38
32,38
33,38
26,39
28,39
29,39
30,39
32,39
34,39
28,40
29,40
30,40
32,40
34,40
28,41
29,41
30,41
32,41
34,41
35,41
28,42
29,42
30,42
32,42
34,42
35,42
36,42
29,43
30,43
32,43
34,43
35,43
36,43
29,44
32,44
34,44
35,44
36,44
32,45
34,45
35,45
36,45
37,45
32,46
34,46
35,46
36,46
32,47
34,47
35,47
38,47
34,48
35,48
38,48
39,48
35,49
38,49
39,49
40,49
35,50
39,50
40,50
41,50
39,51
40,51
41,51
42,51
40,52
41,52
42,52
43,52
40,53
41,53
43,53
40,54
43,54
44,54
40,55
44,55
45,55
40,56
44,56
45,56
46,56
40,57
44,57
46,57
47,57
40,58
46,58
47,58
48,58
40,59
47,59
48,59
49,59
47,60
48,60
49,60
50,60
48,61
49,61
50,61
51,61
49,62
50,62
51,62
52,62
49,63
50,63
51,63
53,63
50,64
51,64
53,64
51,65
53,65
54,65
51,66
53,66
55,66
51,67
53,67
55,67
56,67
51,68
53,68
55,68
56,68
57,68
51,69
53,69
55,69
57,69
51,70
53,70
57,70
58,70
51,71
57,71
58,71
59,71
