version,run_number,name,dataset_metadata,deleted,datasets_in_gui
47422134,362155,/Express/Cosmics22/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,[]
47422184,362155,/Express/Cosmics22/DQM,"{'dt_state': 'not significant for workspace', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,['/StreamExpressCosmics/Run2022F-Express-v1/DQMIO']
47421991,362154,/PromptReco/Collisions2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,[]
47420503,362154,online,{},False,[]
47420512,362154,online,{},False,[]
47420516,362154,online,{},False,[]
47420520,362154,online,{},False,[]
47420524,362154,online,{},False,[]
47420528,362154,online,{},False,[]
47420532,362154,online,{},False,[]
47420536,362154,online,{},False,[]
47420540,362154,online,{},False,[]
47420544,362154,online,{},False,[]
47420551,362154,online,{},False,[]
