run_number,name,dataset_attributes,deleted,version,datasets_in_gui
362153,/PromptReco/Collisions2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47421281,[]
362153,online,{},False,47420508,[]
362153,/Express/Commissioning2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47421310,['/StreamExpress/Run2022F-Express-v1/DQMIO']
362153,/Express/Collisions2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47421309,['/StreamExpress/Run2022F-Express-v1/DQMIO']
362152,/PromptReco/Collisions2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47421268,[]
362152,online,{},False,47420172,[]
362152,/Express/Commissioning2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47421308,['/StreamExpress/Run2022F-Express-v1/DQMIO']
362152,/Express/Collisions2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47421308,['/StreamExpress/Run2022F-Express-v1/DQMIO']
362151,online,{},False,47419410,[]
362150,online,{},False,47419392,[]
362149,online,{},False,47419372,[]
362148,/PromptReco/Collisions2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47420190,[]
362148,online,{},False,47420159,[]
362148,/Express/Commissioning2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47420247,['/StreamExpress/Run2022F-Express-v1/DQMIO']
362148,/Express/Collisions2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47420247,['/StreamExpress/Run2022F-Express-v1/DQMIO']
362146,online,{},False,47418843,[]
362145,/PromptReco/Commissioning2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47419083,[]
362145,online,{},False,47418846,[]
362145,"/Express/Commissioning2022/DQM
","{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47419102,['/StreamExpressCosmics/Run2022F-Express-v1/DQMIO']
362144,online,{},False,47418749,[]
362141,online,{},False,47418765,[]
362140,online,{},False,47418719,[]
362139,/PromptReco/Commissioning2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47418768,[]
362139,online,{},False,47418753,[]
362139,"/Express/Commissioning2022/DQM
","{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47418784,['/StreamExpressCosmics/Run2022F-Express-v1/DQMIO']
362138,/PromptReco/Commissioning2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47418706,[]
362138,online,{},False,47418701,[]
362138,"/Express/Commissioning2022/DQM
","{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47418706,[]
362137,/PromptReco/Commissioning2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47418670,[]
362137,online,{},False,47418664,[]
362137,"/Express/Commissioning2022/DQM
","{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47418670,[]
362136,online,{},False,47418558,[]
362135,/PromptReco/Cosmics22/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47418581,[]
362135,online,{},False,47418566,[]
362135,/Express/Cosmics22/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47418714,['/StreamExpressCosmics/Run2022F-Express-v1/DQMIO']
362134,online,{},False,47418488,[]
362133,/PromptReco/Cosmics22/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47418539,[]
362133,online,{},False,47418497,[]
362133,/Express/Cosmics22/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47418649,['/StreamExpressCosmics/Run2022F-Express-v1/DQMIO']
362132,online,{},False,47418454,[]
362131,online,{},False,47418439,[]
362130,online,{},False,47418393,[]
362129,/PromptReco/Cosmics22/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47418502,[]
362129,online,{},False,47418464,[]
362129,/Express/Cosmics22/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47418600,['/StreamExpressCosmics/Run2022F-Express-v1/DQMIO']
362126,online,{},False,47418361,[]
362122,online,{},False,47418336,[]
362121,online,{},False,47415311,[]
362120,online,{},False,47415286,[]
