id,egroup,routes,createdAt
9,cms-dqm-runregistry-admins-dt,"['/datasets/dt/move_dataset/OPEN/SIGNOFF', '/datasets/dt/move_dataset/OPEN/COMPLETED', '/datasets/dt/move_dataset/SIGNOFF/COMPLETED', '/datasets/dt/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/dt.*', '/dc_tools/change_multiple_dataset_states/dt/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/dt/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/dt/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/dt/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/dt', '/cycles/mark_cycle_pending/dt', '/cycles/move_dataset/dt/.*', '/cycles/move_all_datasets_to/dt', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
36,cms-dqm-runregistry-offline-tracker-certifiers,"['/datasets/tracker/move_dataset/OPEN/SIGNOFF', '/datasets/tracker/move_dataset/OPEN/COMPLETED', '/datasets/tracker/move_dataset/SIGNOFF/COMPLETED', '/datasets/tracker/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/tracker.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/tracker/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
3,cms-dqm-runregistry-admins-ctpps,"['/datasets/ctpps/move_dataset/OPEN/SIGNOFF', '/datasets/ctpps/move_dataset/OPEN/COMPLETED', '/datasets/ctpps/move_dataset/SIGNOFF/COMPLETED', '/datasets/ctpps/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/ctpps.*', '/dc_tools/change_multiple_dataset_states/ctpps/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/ctpps/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/ctpps/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/ctpps/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/ctpps', '/cycles/mark_cycle_pending/ctpps', '/cycles/move_dataset/ctpps/.*', '/cycles/move_all_datasets_to/ctpps', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
1,cms-dqm-runregistry-online-shifters,"['/runs/id_run/[0-9]+', '/runs/mark_significant', '/runs/move_run/OPEN/SIGNOFF', '/manual_run_edit/[0-9]+', '/lumisections/edit_rr_lumisections', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
37,cms-dqm-runregistry-offline-tau-certifiers,"['/datasets/tau/move_dataset/OPEN/SIGNOFF', '/datasets/tau/move_dataset/OPEN/COMPLETED', '/datasets/tau/move_dataset/SIGNOFF/COMPLETED', '/datasets/tau/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/tau.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/tau/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
29,cms-dqm-runregistry-offline-egamma-certifiers,"['/datasets/egamma/move_dataset/OPEN/SIGNOFF', '/datasets/egamma/move_dataset/OPEN/COMPLETED', '/datasets/egamma/move_dataset/SIGNOFF/COMPLETED', '/datasets/egamma/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/egamma.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/egamma/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
31,cms-dqm-runregistry-offline-hlt-certifiers,"['/datasets/hlt/move_dataset/OPEN/SIGNOFF', '/datasets/hlt/move_dataset/OPEN/COMPLETED', '/datasets/hlt/move_dataset/SIGNOFF/COMPLETED', '/datasets/hlt/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/hlt.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/hlt/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
16,cms-dqm-runregistry-admins-l1t,"['/datasets/l1t/move_dataset/OPEN/SIGNOFF', '/datasets/l1t/move_dataset/OPEN/COMPLETED', '/datasets/l1t/move_dataset/SIGNOFF/COMPLETED', '/datasets/l1t/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/l1t .*', '/dc_tools/change_multiple_dataset_states/l1t/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/l1t/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/l1t/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/l1t/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/l1t', '/cycles/mark_cycle_pending/l1t', '/cycles/move_dataset/l1t/.*', '/cycles/move_all_datasets_to/l1t', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
18,cms-dqm-runregistry-admins-muo,"['/datasets/muon/move_dataset/OPEN/SIGNOFF', '/datasets/muon/move_dataset/OPEN/COMPLETED', '/datasets/muon/move_dataset/SIGNOFF/COMPLETED', '/datasets/muon/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/muon.*', '/dc_tools/change_multiple_dataset_states/muon/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/muon/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/muon/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/muon/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/muon', '/cycles/mark_cycle_pending/muon', '/cycles/move_dataset/muon/.*', '/cycles/move_all_datasets_to/muon', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
10,cms-dqm-runregistry-admins-ecal,"['/datasets/ecal/move_dataset/OPEN/SIGNOFF', '/datasets/ecal/move_dataset/OPEN/COMPLETED', '/datasets/ecal/move_dataset/SIGNOFF/COMPLETED', '/datasets/ecal/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/dt.*', '/dc_tools/change_multiple_dataset_states/ecal/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/ecal/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/ecal/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/ecal/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/ecal', '/cycles/mark_cycle_pending/ecal', '/cycles/move_dataset/ecal/.*', '/cycles/move_all_datasets_to/ecal', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
